"TIPO CAPACITACIÓN (CURSO, TALLER)","MODALIDAD (PRESENCIAL, VIRTUAL)",TEMÁTICA DEL CURSO O TALLER,COMPONENTE SNA,FECHA DE REALIZACIÓN,Mes,Trimestre,Género,Edad,Nivel de Gobierno (de la entidad),Departamento (donde se ubica la entidad - UE),¿A qué sector pertenece su entidad?,Área donde labora en la entidad,Puesto que ocupa en la entidad,Las funciones / actividades principales que desarrolla en el puesto están relacionadas a:,Estudios,¿CUÁL ES SU MODALIDAD DE CONTRATACIÓN EN LA ENTIDAD?,Nombre de la entidad (Unidad Ejecutora),Codigo UE,persona_id
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Gobiernos Regionales,Administración,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 728,UNIDAD EJECUTORA - PROGRAMAS REGIONALES PRO REGION,1335,a50dc75b4b4b
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Piura,Salud,Patrimonio,Jefe,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 276,UNIDAD EJECUTORA N° 403 - SALUD MORROPON CHULUCANAS,1026,113d45866a81
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Gobiernos Regionales,Abastecimiento,Jefe,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior Universitario,CAS,UNIDAD DE GESTION EDUCATIVA LOCAL DE LA PROVINCIA DE HUALGAYOC,1355,c42d28361c1c
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Salud,Almacén,Jefe,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio",Superior Universitario,DL 276,UNIDAD EJECUTORA - RED DE SALUD CAJAMARCA,1712,fb57fe383e7d
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Local,Cajamarca,Gobiernos Locales,Patrimonio,Jefe,Administración de Bienes Muebles - Patrimonio,Superior No Universitario,CAS,MUNICIPALIDAD DISTRITAL DE TUMBADEN,300665,03c6519cfd4a
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Patrimonio,Analista,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,MUNICIPALIDAD DISTRITAL DE SITACOCHA,300565,bb864531abab
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Regional,Cajamarca,Gobiernos Regionales,Logística,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio",Superior Universitario,DL 728,UNIDAD EJECUTORA - PROGRAMAS REGIONALES PRO REGION,1335,fa6fc00a0fd5
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Local,Cajamarca,Gobiernos Locales,Patrimonio,Jefe,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,MUNICIPALIDAD DISTRITAL DE MAGDALENA,300557,302f34b66d7d
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Regional,Piura,Educación,Infraestructura,Especialista,Administración de Bienes Inmuebles,Superior Universitario,Otros,UNIDAD DE GESTION EDUCATIVA LOCAL DE PAITA,1395,ade94c62599a
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Regional,Piura,Gobiernos Regionales,Contabilidad,Asistente,Otras actividades,Superior Universitario,Otros,DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES DE PIURA,895,d32da60f9577
